Text	Theme
Sales improved in the Czech Republic and Greece following action to address the stores’ performance.	Financial
"We are reviewing our store portfolio in Central and Eastern Europe to ensure we are in the right locations in key cities. After a strategic review of our stores in the Republic of Ireland, where the economy remains challenging, we took the diffi cult decision to close four. We remain committed to the business and will invest in our remaining stores, and open a new ﬂ agship in Limerick in 2016."	Manufactured
"Doing the right thing Due to our broad reach, we can’t take a ‘one size fi ts all’ approach to Plan A across all our territories. So we adapt it to suit local markets. By establishing a minimum set of criteria in each location, we can work towards our environmental and ethical goals in a realistic way with local partners. Some of our leading campaigns, like clothes recycling, will be rolled-out internationally. Our employability programme, Marks & Start International, runs in certain stores and suppliers’ factories overseas"	Social_Relationship
"Strong partnerships We know that the infrastructure in some of our emerging markets and the challenges of entering new markets could affect our ambition to be a leading international, multi-channel retailer. Local knowledge and strong partnerships are therefore essential. That’s why we work closely with our trusted overseas partners, who know the markets and can take decisive action should problems arise."	Social_Relationship
"BandraIn November, we opened our largest store in India in Bandra, Mumbai. Ranges in the 35,000 sq ft store include our exclusive Savile Row Inspired collection of men’s suits."	Manufactured
UNICEFWe launched our fi rst ever co-ordinated fundraising challenge with UNICEF to raise money from our international stores.	Social_Relationship
We have expanded our fresh food offer so customers from Prague to Hong Kong can buy fresh M&S food daily.–  We will open around 20 Food Stores in Paris over the next three years which will make France our largest food market outside the UK.	Manufactured
"We sell more clotted cream in our Kalverstraat Store and more crumpets and curries in our Beaugrenelle, Paris, store than anywhere else in our global store network"	Unclassified
"We will open 250 international stores over the next three years focusing on priority markets: India, China, Russia, the Middle East and Western Europe."	Manufactured
We will strengthen our relationships with existing franchise partners and build relationships with new ones. 60% of openings over the next three years will be franchise stores	Social_Relationship
"We will expand in Western Europe with a ‘bricks and clicks’ approach by opening ﬂ agship stores, supported by Food stores and an online offer."	Unclassified
	
"Bolstering our capabilitiesAs technology continues to change the way that our customers shop, we are building our in-house skills to ensure we have the capabilities to evolve with the retail landscape. We have also actively looked to recruit people from outside the company with skills to suit the new environment. From designers to online editors to copywriters, we have substantially bolstered our digital team"	Human
We also enhanced our leadership team with a number of senior appointments and around two-thirds of our top 100 managers have international experience	Human
"Transformation As part of the ongoing transformation of M&S over the last year, we looked at how we could become more connected with each other and with our customers"	Social_Relationship
"Over 60,000 of our store colleagues have been involved in the ‘Notice Me’ programme to continue to improve the in-store customer experience. The majority of our senior leaders have also attended development days to support them in leading the way in a multi-channel, international business and responsible leadership"	Human
"Youth employment Youth unemployment remains one of the biggest social issues that the UK faces. That is why this year we have provided over 1,450 16-25 year-olds with vocational work experience through our"	Human
"OverviewOur people are at the heart of what makes M&S different. As we continue to transform the business, we have worked hard to ensure that we have the capabilities in place to drive the company forward. We have continued to make sure that our 86,000 employees throughout the business are confi dent, engaged and knowledgeable. As the retail landscape evolves, we continue to train our colleagues in the latest digital developments in retail. But despite changing shopping habits, we know that customers still want the personal touch. That’s why our store employees are as dedicated as ever to providing exceptional levels of customer service"	Human
"An engaged, positive teamIt is crucial that all our people understand our priorities and objectives, and that they are engaged with the ongoing transformation of the business. Our annual ‘Your Say’ survey shows we are achieving this – levels of engagement among our employees grew by 2% on last year to 80% and our overall positivity score also rose compared to last year. Meanwhile, 95% of our employees said that they regularly look for ways to better serve our customers"	Human
"An increasing number of store employees said that their store managers are making more time to keep them informed about the Company’s overall performance and plans. This fi ts in with our belief that knowledge bolsters confi dence, which in turn leads to increased levels of customer service and employee motivation"	Human
"Our people highlightsGM ApprenticeshipsTo build a pipeline of future talent we have taken on nine GM technologist apprentices. They split their week between M&S and Fashion Enter, one of our clothing suppliers based in London. Average number of employees*85,813Employee engagement score80%Training and development days1.5per customer assistant* This fi gure represents the average total number of employees throughout the year and accounts for seasonal ﬂ uctuatio"	Human
	
"new Make Your Mark scheme. The four-week programme, which we launched last summer in partnership with The Prince’s Trust, aims to fi ll the skills gap that prevents so many young people from fi nding work. Make Your Mark was inspired by our Marks & Start employability scheme, which has helped 6,000 people take their fi rst steps into the jobs market since it launched a decade ago. Our pioneering approach has also been mirrored in the launch of a scheme, Movement to Work, which M&S is part of along with 14 other companies"	Social_Relationship
"Supporting our communities Helping in the community is a key strand of Plan A. To this end, we offer all our employees one day’s paid time off so that they can take part in volunteer activities. Last November, 600 IT employees from M&S and our suppliers joined forces to take part in one of the biggest ever volunteer programmes in the IT industry, training IT Ambassadors in schools and helping elderly people enjoy the social benefi ts of getting online. In April, thousands of employees and customers took part in our annual"	Social_Relationship
"Big Beach Clean-up, which cleared litter from 140 UK beaches and canals. During the day, which was run in partnership with the Marine Conservation Society and the Canal & River Trust, we cleared 25 tonnes of litter, equivalent to 3,969 black bags"	Natural
"1,300 employees participated in BIKE 24, a 24-hour charity cycle event, and a further 60 cycled from ‘Arc to Arch’ – from our Champs Elysées store to our Marble Arch store. They raised £942,000 for fi ve charity partners"	Human
"Our plan for the future –  We will drive a performance culture by continuing to nurture talent within M&S, as well as recruit skilled people from outside the business"	Human
"–  As digital technology continues to change the way that people shop, we will train our employees with the relevant skills needed to serve customers"	Human
"We will continue to embed clear, core M&S values across our business."	Social_Relationship
"Staying connected –  Our employees have access to Yammer, an internal social network, which allows them to ask and answer questions, join groups and post comments"	Human
We keep our employees informed about which products have made the headlines through our weekly press summary that goes to all our stores.	Human
Our In-Touch programme includes weekly video downloads to help employees stay in touch with what’s happening across the business.	Human
"Employee diversity as at year end Inspiring Women’s NetworkOne of our non-executive directors, Martha Lane Fox, the co-founder of lastminute.com, spoke at the launch event of our women’s leadership network, which aims to inform and inspire our people.Female 58,552Male 21,414Total employees79,966 Female 72Male 120Total Senior Managers192 Female 4Male"	Human
